,confederation,iso
0,CAF,DZA
1,CAF,AGO
2,CAF,BEN
3,CAF,BWA
4,CAF,BFA
5,CAF,BDI
6,CAF,CMR
7,CAF,CPV
8,CAF,CAF
9,CAF,TCD
10,CAF,COM
11,CAF,COG
12,CAF,COD
13,CAF,CIV
14,CAF,DJI
15,CAF,EGY
16,CAF,GNQ
17,CAF,ERI
18,CAF,ETH
19,CAF,GAB
20,CAF,GMB
21,CAF,GHA
22,CAF,GIN
23,CAF,GNB
24,CAF,KEN
25,CAF,LSO
26,CAF,LBR
27,CAF,LBY
28,CAF,MDG
29,CAF,MWI
30,CAF,MLI
31,CAF,MRT
32,CAF,MUS
33,CAF,MAR
34,CAF,MOZ
35,CAF,NAM
36,CAF,NER
37,CAF,NGA
38,CAF,RWA
39,CAF,STP
40,CAF,SEN
41,CAF,SYC
42,CAF,SLE
43,CAF,SOM
44,CAF,ZAF
45,CAF,SSD
46,CAF,SDN
47,CAF,SWZ
48,CAF,TZA
49,CAF,TGO
50,CAF,TUN
51,CAF,UGA
52,CAF,ZMB
53,CAF,ZWE
54,AFC,AFG
55,AFC,AUS
56,AFC,BHR
57,AFC,BGD
58,AFC,BTN
59,AFC,BRN
60,AFC,KHM
61,AFC,CHN
62,AFC,TWN
63,AFC,TLS
64,AFC,GUM
65,AFC,HKG
66,AFC,IND
67,AFC,IDN
68,AFC,IRN
69,AFC,IRQ
70,AFC,JPN
71,AFC,JOR
72,AFC,PRK
73,AFC,KOR
74,AFC,KWT
75,AFC,KGZ
76,AFC,LAO
77,AFC,LBN
78,AFC,MAC
79,AFC,MYS
80,AFC,MDV
81,AFC,MNG
82,AFC,MMR
83,AFC,NPL
84,AFC,OMN
85,AFC,PAK
86,AFC,PSE
87,AFC,PHL
88,AFC,QAT
89,AFC,SAU
90,AFC,SGP
91,AFC,LKA
92,AFC,SYR
93,AFC,TJK
94,AFC,THA
95,AFC,TKM
96,AFC,ARE
97,AFC,UZB
98,AFC,VNM
99,AFC,YEM
100,UEFA,ALB
101,UEFA,AND
102,UEFA,ARM
103,UEFA,AUT
104,UEFA,AZE
105,UEFA,BLR
106,UEFA,BEL
107,UEFA,BIH
108,UEFA,BGR
109,UEFA,HRV
110,UEFA,CYP
111,UEFA,CZE
112,UEFA,DNK
113,UEFA,GBR
114,UEFA,EST
115,UEFA,FRO
116,UEFA,FIN
117,UEFA,FRA
118,UEFA,GEO
119,UEFA,DEU
120,UEFA,GIB
122,UEFA,GRC
123,UEFA,HUN
124,UEFA,ISL
125,UEFA,IRL
126,UEFA,ISR
127,UEFA,ITA
128,UEFA,KAZ
129,UEFA,XKX
130,UEFA,LVA
131,UEFA,LIE
132,UEFA,LTU
133,UEFA,LUX
134,UEFA,MKD
135,UEFA,MLT
136,UEFA,MDA
137,UEFA,MCO
138,UEFA,MNE
139,UEFA,NLD
141,UEFA,NOR
142,UEFA,POL
143,UEFA,PRT
144,UEFA,ROU
145,UEFA,RUS
146,UEFA,SMR
147,UEFA,SCO
148,UEFA,SRB
149,UEFA,SVK
150,UEFA,SVN
151,UEFA,ESP
152,UEFA,SWE
153,UEFA,CHE
154,UEFA,TUR
155,UEFA,UKR
156,UEFA,VAT
158,CONCACAF,AIA
159,CONCACAF,ATG
160,CONCACAF,ABW
161,CONCACAF,BHS
162,CONCACAF,BRB
163,CONCACAF,BLZ
164,CONCACAF,BMU
165,CONCACAF,VGB
166,CONCACAF,CAN
167,CONCACAF,CYM
168,CONCACAF,CRI
169,CONCACAF,CUB
170,CONCACAF,CUW
171,CONCACAF,DMA
172,CONCACAF,DOM
173,CONCACAF,SLV
174,CONCACAF,GRD
175,CONCACAF,GTM
176,CONCACAF,GUY
177,CONCACAF,HTI
178,CONCACAF,HND
179,CONCACAF,JAM
180,CONCACAF,MEX
181,CONCACAF,MSR
182,CONCACAF,NIC
183,CONCACAF,PAN
184,CONCACAF,PRI
185,CONCACAF,KNA
186,CONCACAF,LCA
187,CONCACAF,VCT
188,CONCACAF,SUR
189,CONCACAF,TTO
190,CONCACAF,TCA
191,CONCACAF,USA
192,CONCACAF,VIR
193,OFC,ASM
194,OFC,AUS
195,OFC,COK
196,OFC,FJI
197,OFC,GUM
198,OFC,KIR
199,OFC,MHL
200,OFC,FSM
201,OFC,NRU
202,OFC,NCL
203,OFC,NZL
204,OFC,PLW
205,OFC,PNG
206,OFC,WSM
207,OFC,SLB
208,OFC,TAH
209,OFC,TON
210,OFC,TUV
211,OFC,VUT
212,CONMEBOL,ARG
213,CONMEBOL,BOL
214,CONMEBOL,BRA
215,CONMEBOL,CHL
216,CONMEBOL,COL
217,CONMEBOL,ECU
218,CONMEBOL,PRY
219,CONMEBOL,PER
220,CONMEBOL,URY
221,CONMEBOL,VEN
222,OFC,PYF
